Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat A (Cars up to 1600cc and 97kW),336,74689,1180,329
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat B (Cars above 1600cc or 97kW),326,58090,1028,326
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat D (Motorcycles),510,1895,669,510
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat C (Goods vehicles and buses),225,53900,374,223
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat E (Open),255,65001,1036,248
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat A (Cars up to 1600cc and 97kW),333,78301,427,329
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat B (Cars above 1600cc or 97kW),303,92667,409,299
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat D (Motorcycles),506,1512,589,469
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat C (Goods vehicles and buses),225,53489,285,225
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat E (Open),241,91910,370,200
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat A (Cars up to 1600cc and 97kW),335,87109,418,333
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat B (Cars above 1600cc or 97kW),302,92901,431,278
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat D (Motorcycles),506,1782,637,502
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat C (Goods vehicles and buses),230,54989,316,230
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat E (Open),238,94890,295,221
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat A (Cars up to 1600cc and 97kW),409,91010,489,409
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat B (Cars above 1600cc or 97kW),351,95501,452,351
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat D (Motorcycles),461,1781,530,461
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat C (Goods vehicles and buses),184,57051,262,184
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat E (Open),251,97889,344,248
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat A (Cars up to 1600cc and 97kW),410,92100,555,409
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat B (Cars above 1600cc or 97kW),363,96210,470,363
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat D (Motorcycles),462,1933,523,462
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat C (Goods vehicles and buses),193,60000,244,188
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat E (Open),256,96101,393,256
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat A (Cars up to 1600cc and 97kW),395,81889,499,378
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat B (Cars above 1600cc or 97kW),360,93501,478,360
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat D (Motorcycles),454,1701,522,440
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat C (Goods vehicles and buses),182,62201,242,178
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat E (Open),250,95990,406,241
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat A (Cars up to 1600cc and 97kW),395,78523,482,378
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat B (Cars above 1600cc or 97kW),350,90200,493,337
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat D (Motorcycles),450,1612,602,435
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat C (Goods vehicles and buses),181,63035,281,168
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat E (Open),246,97000,329,233
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat A (Cars up to 1600cc and 97kW),396,77291,540,393
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat B (Cars above 1600cc or 97kW),351,93004,487,342
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat D (Motorcycles),448,1689,523,441
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat C (Goods vehicles and buses),179,60235,254,177
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat E (Open),258,93990,352,250
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat A (Cars up to 1600cc and 97kW),395,77201,621,393
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat B (Cars above 1600cc or 97kW),350,92400,573,350
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat D (Motorcycles),481,1959,580,478
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat C (Goods vehicles and buses),181,59111,268,180
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat E (Open),244,92100,401,241
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat A (Cars up to 1600cc and 97kW),393,71001,509,390
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat B (Cars above 1600cc or 97kW),353,85801,540,353
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat D (Motorcycles),463,1920,605,462
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat C (Goods vehicles and buses),180,57889,229,180
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat E (Open),249,87000,371,233
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat A (Cars up to 1600cc and 97kW),401,69000,506,399
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat B (Cars above 1600cc or 97kW),350,80001,414,350
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat D (Motorcycles),447,1912,631,413
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat C (Goods vehicles and buses),186,56001,221,185
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat E (Open),243,86889,312,242
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat A (Cars up to 1600cc and 97kW),402,63000,486,402
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat B (Cars above 1600cc or 97kW),351,88500,523,349
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat D (Motorcycles),450,1852,566,434
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat C (Goods vehicles and buses),182,57809,230,181
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat E (Open),252,89990,421,245
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat A (Cars up to 1600cc and 97kW),399,68000,518,391
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat B (Cars above 1600cc or 97kW),355,80191,466,355
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat D (Motorcycles),450,1801,575,450
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat C (Goods vehicles and buses),183,57334,269,177
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat E (Open),245,87999,349,245
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat A (Cars up to 1600cc and 97kW),400,66889,530,391
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat B (Cars above 1600cc or 97kW),351,88002,532,351
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat D (Motorcycles),448,2013,535,444
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat C (Goods vehicles and buses),181,59334,261,178
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat E (Open),247,93990,301,238
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat A (Cars up to 1600cc and 97kW),421,73501,724,415
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat B (Cars above 1600cc or 97kW),350,94502,489,345
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat D (Motorcycles),456,2081,659,453
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat C (Goods vehicles and buses),183,57001,241,180
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat E (Open),260,95034,354,258
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat A (Cars up to 1600cc and 97kW),676,68656,911,669
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat B (Cars above 1600cc or 97kW),353,90501,549,352
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat D (Motorcycles),426,1859,531,425
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat C (Goods vehicles and buses),163,55805,222,162
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat E (Open),310,92700,429,306
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat A (Cars up to 1600cc and 97kW),641,59421,872,613
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat B (Cars above 1600cc or 97kW),358,82289,459,358
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat D (Motorcycles),451,1760,592,442
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat C (Goods vehicles and buses),164,55556,234,161
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat E (Open),312,86999,410,295
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat A (Cars up to 1600cc and 97kW),633,59004,920,577
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat B (Cars above 1600cc or 97kW),349,85400,477,346
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat D (Motorcycles),410,1712,517,393
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat C (Goods vehicles and buses),161,54502,242,158
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat E (Open),317,84389,427,315
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat A (Cars up to 1600cc and 97kW),668,59003,1004,647
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat B (Cars above 1600cc or 97kW),350,83000,490,342
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat D (Motorcycles),410,1912,569,368
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat C (Goods vehicles and buses),159,54522,258,155
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat E (Open),315,85889,526,311
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat A (Cars up to 1600cc and 97kW),630,58001,945,617
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat B (Cars above 1600cc or 97kW),349,85216,482,349
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat D (Motorcycles),410,1890,520,410
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat C (Goods vehicles and buses),162,57106,205,161
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat E (Open),321,86889,544,312
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat A (Cars up to 1600cc and 97kW),641,62600,822,593
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat B (Cars above 1600cc or 97kW),354,92050,545,354
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat D (Motorcycles),410,2021,514,410
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat C (Goods vehicles and buses),159,58553,218,159
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat E (Open),311,88990,457,304
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat A (Cars up to 1600cc and 97kW),629,64201,1011,618
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat B (Cars above 1600cc or 97kW),349,91000,563,349
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat D (Motorcycles),411,1924,526,411
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat C (Goods vehicles and buses),160,57589,261,158
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat E (Open),308,92010,447,295
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat A (Cars up to 1600cc and 97kW),637,58501,960,615
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat B (Cars above 1600cc or 97kW),352,83700,483,348
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat D (Motorcycles),416,1896,542,416
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat C (Goods vehicles and buses),163,53989,222,163
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat E (Open),309,84590,413,307
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat A (Cars up to 1600cc and 97kW),636,56501,1067,626
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat B (Cars above 1600cc or 97kW),352,82003,529,352
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat D (Motorcycles),434,2000,584,433
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat C (Goods vehicles and buses),174,51511,241,174
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat E (Open),327,80101,449,327
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat A (Cars up to 1600cc and 97kW),667,56551,912,649
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat B (Cars above 1600cc or 97kW),354,79304,626,352
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat D (Motorcycles),413,1490,474,407
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat C (Goods vehicles and buses),163,50009,247,159
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat E (Open),309,76881,492,309
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat A (Cars up to 1600cc and 97kW),624,57009,1017,607
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat B (Cars above 1600cc or 97kW),351,78189,580,348
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat D (Motorcycles),413,2012,509,389
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat C (Goods vehicles and buses),164,52004,248,149
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat E (Open),314,78000,507,296
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat A (Cars up to 1600cc and 97kW),619,52809,1058,571
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat B (Cars above 1600cc or 97kW),350,73890,635,346
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat D (Motorcycles),412,1802,512,409
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat C (Goods vehicles and buses),162,49801,307,158
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat E (Open),312,73801,425,312
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat A (Cars up to 1600cc and 97kW),657,48112,903,652
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat B (Cars above 1600cc or 97kW),353,67889,537,351
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat D (Motorcycles),393,1552,517,390
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat C (Goods vehicles and buses),241,44001,405,236
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat E (Open),380,67101,538,375
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat A (Cars up to 1600cc and 97kW),554,46889,901,554
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat B (Cars above 1600cc or 97kW),356,65801,511,356
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat D (Motorcycles),388,1682,434,386
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat C (Goods vehicles and buses),242,38699,357,239
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat E (Open),344,65700,530,341
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat A (Cars up to 1600cc and 97kW),566,50001,878,457
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat B (Cars above 1600cc or 97kW),368,70003,464,368
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat D (Motorcycles),392,1481,456,386
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat C (Goods vehicles and buses),249,39589,361,249
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat E (Open),334,71000,521,285
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat A (Cars up to 1600cc and 97kW),549,52392,781,543
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat B (Cars above 1600cc or 97kW),354,72350,474,351
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat D (Motorcycles),416,1902,451,415
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat C (Goods vehicles and buses),242,40009,334,242
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat E (Open),349,74340,489,335
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat A (Cars up to 1600cc and 97kW),559,54887,756,541
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat B (Cars above 1600cc or 97kW),353,77340,518,338
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat D (Motorcycles),394,1889,469,389
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat C (Goods vehicles and buses),256,40189,335,248
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat E (Open),355,75889,496,352
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat A (Cars up to 1600cc and 97kW),548,55997,766,547
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat B (Cars above 1600cc or 97kW),356,77000,551,355
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat D (Motorcycles),388,2012,429,359
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat C (Goods vehicles and buses),244,40803,365,244
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat E (Open),330,78001,507,311
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat A (Cars up to 1600cc and 97kW),565,56112,873,554
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat B (Cars above 1600cc or 97kW),353,75889,633,353
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat D (Motorcycles),387,2091,486,380
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat C (Goods vehicles and buses),244,37011,354,229
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat E (Open),330,73600,518,306
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat A (Cars up to 1600cc and 97kW),549,50289,793,549
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat B (Cars above 1600cc or 97kW),356,63600,524,353
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat D (Motorcycles),394,2078,486,394
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat C (Goods vehicles and buses),249,32801,348,247
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat E (Open),331,65058,452,331
